  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000  -0.1074   0.00550   0.00122  -0.0014   0.7851   0.5829
  -2.000  -0.2144   0.00582   0.00144  -0.0030   0.8680   0.4752
  -3.000  -0.3199   0.00641   0.00180  -0.0049   0.9290   0.3649
  -4.000  -0.4280   0.00730   0.00232  -0.0060   0.9682   0.2539
  -5.000  -0.5566   0.00850   0.00306  -0.0020   0.9855   0.1491
  -6.000  -0.6943   0.00976   0.00396   0.0042   0.9942   0.0818
  -7.000  -0.8266   0.01099   0.00502   0.0093   1.0000   0.0510
  -8.000  -0.9100   0.01214   0.00613   0.0040   1.0000   0.0385
  -9.000  -0.9940   0.01349   0.00750  -0.0010   1.0000   0.0310
 -10.000  -1.0800   0.01504   0.00915  -0.0054   1.0000   0.0260
 -11.000  -1.1658   0.01694   0.01115  -0.0092   1.0000   0.0224
 -12.000  -1.2459   0.01923   0.01359  -0.0133   1.0000   0.0197
 -13.000  -1.3144   0.02196   0.01654  -0.0185   1.0000   0.0178
 -14.000  -1.3545   0.02568   0.02054  -0.0264   1.0000   0.0164
 -15.000  -1.3817   0.03143   0.02657  -0.0311   1.0000   0.0154
