
 ===========================================================================
 Free Tip Potential Formulation Solution:  EDICS CRUZER PROP 7             
                                                  Wake adv. ratio:    0.73067
 no. blades :  2            radius(m)  :   0.1100     adv. ratio:     0.67822
 thrust(N)  :   38.0        power(W)   :   269.       torque(N-m):   3.21    
 Efficiency :  0.8834       speed(m/s) :    6.250     rpm        :    800.000
 Eff induced:  0.9282       Eff ideal  :   0.9875     Tcoef      :     0.0512
 Tnacel(N)  :     0.1125    hub rad.(m):   0.0110     disp. rad. :    0.0066
 Tvisc(N)   :    -1.1368    Pvisc(W)   :   5.31    
 rho(kg/m3) :1000.00000     Vsound(m/s): 1500.000     mu(kg/m-s) : 0.1150E-02
 ---------------------------------------------------------------------------
 Sigma:    0.11004
                Ct:    0.09123     Cp:    0.22002    J:    2.13068
                Tc:    0.05117     Pc:    0.05792  adv:    0.67822

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U
  1 0.106 0.1500  82.60  0.378   0.0146  94.88  0.004  1.376 0.721   0.046
  2 0.129 0.1506  81.02  0.392   0.0146  94.91  0.004  1.172 0.777   0.037
  3 0.165 0.1578  78.48  0.414   0.0142  99.54  0.004  1.050 0.839   0.027
  4 0.207 0.1691  75.52  0.437   0.0134 107.59  0.004  0.996 0.883   0.019
  5 0.253 0.1811  72.44  0.458   0.0127 116.96  0.005  0.970 0.911   0.014
  6 0.300 0.1916  69.38  0.477   0.0120 126.35  0.005  0.956 0.929   0.011
  7 0.347 0.1998  66.42  0.492   0.0115 135.04  0.005  0.948 0.940   0.009
  8 0.394 0.2054  63.60  0.505   0.0110 142.63  0.005  0.943 0.948   0.007
  9 0.440 0.2082  60.96  0.516   0.0107 148.90  0.005  0.940 0.953   0.006
 10 0.485 0.2089  58.49  0.525   0.0105 153.93  0.005  0.938 0.957   0.005
 11 0.529 0.2078  56.20  0.530   0.0103 157.90  0.005  0.936 0.960   0.004
 12 0.572 0.2050  54.08  0.534   0.0102 160.61  0.005  0.935 0.961   0.004
 13 0.614 0.2003  52.14  0.538   0.0102 161.68  0.006  0.934 0.962   0.003
 14 0.654 0.1938  50.38  0.542   0.0102 161.09  0.006  0.933 0.963   0.003
 15 0.692 0.1863  48.78  0.544   0.0103 159.25  0.006  0.933 0.963   0.003
 16 0.728 0.1782  47.32  0.545   0.0104 156.45  0.006  0.932 0.962   0.002
 17 0.763 0.1694  45.99  0.545   0.0106 152.44  0.006  0.932 0.962   0.002
 18 0.795 0.1596  44.80  0.545   0.0109 147.11  0.006  0.931 0.961   0.002
 19 0.826 0.1492  43.73  0.545   0.0113 140.59  0.007  0.931 0.959   0.002
 20 0.854 0.1384  42.79  0.545   0.0118 133.04  0.007  0.930 0.957   0.002
 21 0.880 0.1272  41.95  0.544   0.0124 124.53  0.007  0.930 0.955   0.002
 22 0.903 0.1157  41.21  0.543   0.0131 115.19  0.007  0.929 0.952   0.002
 23 0.924 0.1041  40.57  0.541   0.0140 105.15  0.007  0.928 0.948   0.002
 24 0.943 0.0924  40.02  0.537   0.0152  94.54  0.007  0.927 0.944   0.002
 25 0.959 0.0807  39.56  0.532   0.0166  83.57  0.007  0.925 0.938   0.001
 26 0.972 0.0694  39.17  0.522   0.0185  72.46  0.007  0.922 0.930   0.001
 27 0.983 0.0586  38.87  0.505   0.0207  61.66  0.007  0.916 0.919   0.001
 28 0.991 0.0490  38.65  0.473   0.0234  51.85  0.007  0.906 0.903   0.001
 29 0.997 0.0416  38.50  0.423   0.0261  44.16  0.007  0.890 0.882   0.001
 30 0.999 0.0374  38.43  0.378   0.0280  39.85  0.007  0.876 0.860   0.001
